Comment définit-on la conscience selon le cours ?,Le fait d'avoir connaissance de soi et de l'environnement.
Quel terme désigne l'état d'activation cérébrale permettant une adaptation aux sollicitations extérieures ?,La vigilance (ou éveil).
Le coma se définit par la suppression de quelle composante de la conscience ?,La vigilance (ou éveil).
Quelle structure nerveuse est responsable du niveau d'éveil (vigilance) ?,Le SRAA (Système Réticulé Activateur Ascendant).
"Selon Laureys (2004), quels sont les quatre principaux états consécutifs à une lésion cérébrale aiguë ?","Le Locked-in syndrome, l'état végétatif, le coma chronique et la mort encéphalique."
Au bout de combien de temps un état végétatif non traumatique est-il considéré comme permanent ?,Plus de 3 mois.
"Pour un traumatisme crânien, quel délai définit un état végétatif permanent ?",Plus de 1 an.
Caractéristique du coma de Stade 1 (coma vigile) ?,Réponses possibles aux stimulations répétées et mouvements de défense adaptés à la douleur.
Comment réagit un patient en coma de Stade 2 (coma léger) à une stimulation nociceptive ?,"Par une réponse inadaptée, sans troubles neurovégétatifs associés."
Quels sont les deux signes caractéristiques d'un coma de Stade 3 (coma profond) ?,Une décérébration (ou absence de réponse) aux stimulations et la présence de troubles neurovégétatifs.
Quelles sont les caractéristiques cliniques du Stade 4 (coma dépassé) ?,"Absence de réponse, hypotonie, mydriase et abolition des fonctions végétatives."
Quelles sont les trois catégories évaluées dans le score de Glasgow (GCS) ?,"Ouverture des yeux (E), Réponse motrice (M) et Réponse verbale (V)."
Quel est le score minimum et maximum possible à l'échelle de Glasgow ?,3 à 15.
Quelle évaluation est ajoutée au GCS pour obtenir le score de Glasgow-Liège ?,Les réflexes du tronc cérébral (T).
"Dans le score de Glasgow-Liège, quel est le premier réflexe du tronc à disparaître (valeur 5) ?",Le réflexe fronto-orbiculaire.
Quel est le dernier réflexe du tronc à disparaître (valeur 1) dans le score de Glasgow-Liège ?,Le réflexe oculocardiaque.
Quel diagnostic différentiel du coma présente un clignement à la menace et une résistance à l'ouverture des yeux ?,La conversion hystérique.
Quelle est la principale différence entre l'hypersomnie et le coma ?,Le sommeil est réversible par la stimulation dans l'hypersomnie.
Définition de l'état végétatif chronique ?,"Ouverture des yeux sans conscience ni possibilité relationnelle, avec préservation des fonctions végétatives."
Quelle lésion cérébrale est typiquement responsable d'un mutisme akinétique ?,Une lésion frontale bilatérale.
Quelle est la cause vasculaire classique du Locked-in syndrome ?,Un infarctus protubérantiel bilatéral.
"Dans le Locked-in syndrome, quelle motricité oculaire est généralement préservée ?",La verticalité du regard.
Qu'est-ce qui différencie cliniquement le Locked-in syndrome d'un coma ?,La conscience et la vigilance sont préservées dans le Locked-in syndrome.
Quelle est la cause physiologique commune des syncopes et des lipothymies ?,Une brève baisse du débit sanguin cérébral.
L'engagement sous-falcoriel implique le passage de quelle structure sous la faux du cerveau ?,Le gyrus cingulaire.
Quelle est la conséquence clinique classique d'un engagement uncal sur la pupille ?,Une mydriase unilatérale aréactive par compression du nerf cranien III.
Quels sont les trois éléments de la triade de Cushing lors d'un engagement amygdalien ?,"Hypertension artérielle, bradycardie et troubles respiratoires (bradypnée)."
