Définition : Système immunitaire,"Dispositif permettant à l'organisme de lutter contre les particules étrangères par phagocytose, production d'anticorps ou formation de cellules tueuses."
Quels sont les deux types d'organes lymphoïdes primaires (centraux) ?,La moelle osseuse et le thymus.
Citez trois exemples d'organes lymphoïdes secondaires (périphériques).,"Les amygdales, les ganglions lymphatiques et la rate."
Quels sont les deux types de cellules composant les leucocytes (globules blancs) ?,Les cellules phagocytaires et les lymphocytes.
Quel pourcentage de la numération formule sanguine ($NFS$) représentent les polynucléaires neutrophiles ?,Ils représentent $60$ à $70\%$ des leucocytes.
Dans quel organe naissent les myéloblastes et les monoblastes ?,Dans la moelle osseuse.
Quel est le nom des monocytes lorsqu'ils se trouvent dans le tissu hépatique ?,Les cellules de Kupffer.
Comment appelle-t-on les monocytes situés dans le tissu nerveux (système nerveux central) ?,Les cellules de la microglie.
Quels sont les trois rôles principaux des monocytes/macrophages ?,"Phagocytose des corps étrangers, des cellules mortes et destruction des cellules anormales (nettoyage)."
Quelles sont les seules cellules du système immunitaire capables de reconnaître les antigènes par des récepteurs membranaires ?,Les lymphocytes.
En quelles cellules se transforment les lymphocytes B pour produire des anticorps ?,En plasmocytes.
Quels sont les trois mécanismes de barrière communs à la peau et aux muqueuses ?,"Les mécanismes physique, chimique et biologique."
"L'immunité _____ est immédiate, innée et ne possède pas de mémoire immunitaire.",non spécifique (ou naturelle/innée)
Quelles cellules sont responsables de l'immunité innée ou naturelle ?,"Les cellules phagocytaires (polynucléaires neutrophiles, macrophages, cellules NK)."
"L'immunité _____ est retardée, spécifique et possède une mémoire immunitaire.",acquise (ou spécifique/adaptative)
Citez un exemple de protection acquise de type 'active et artificielle'.,La vaccination.
Comment appelle-t-on une immunité passive et artificielle ?,La sérothérapie.
Définition : Maladie auto-immune,Pathologie où l'organisme attaque ses propres cellules qu'il ne reconnaît plus.
Quels sont les signes cliniques du choc anaphylactique ?,"Urticaire, bronchospasme, hypotension artérielle, œdème et arrêt cardio-respiratoire."
Quelles sont les quatre phases de la réaction inflammatoire ?,"Vasodilatation, diapédèse, phagocytose et réparation tissulaire."
Qu'est-ce que la diapédèse lors d'une inflammation ?,L'afflux de leucocytes du milieu sanguin vers le milieu tissulaire.
Quels sont les trois rôles du système du complément ($C1$ à $C9$) ?,"Bactériolytique, opsonisant (favorise la phagocytose) et chimiotactique (attire les GB)."
