Quels sont les deux objectifs principaux de la surveillance de la grossesse ?,Suivre la bonne évolution et dépister les facteurs de risques maternels.
À quel moment doit avoir lieu la première consultation de grossesse ?,Le plus tôt possible.
Avant quelle échéance la déclaration de grossesse doit-elle être effectuée ?,Avant $14$ semaines d'aménorrhée (SA).
Combien d'examens prénatals obligatoires sont prévus durant la grossesse ?,Sept examens.
Quelle est la périodicité habituelle des examens prénatals obligatoires ?,Mensuelle.
Quels sont les deux signes cliniques cardinaux du diagnostic de grossesse ?,L'aménorrhée secondaire et l'augmentation du volume utérin.
Citez trois signes cliniques accessoires de la grossesse.,"Signes sympathiques, modifications mammaires et aspect violacé du col utérin."
Quel critère thermique matinal peut indiquer une grossesse ?,Une température $>37^{\circ}C$ pendant plus de $16$ jours.
Quelle hormone est sécrétée par le trophoblaste pour le diagnostic de début de grossesse ?,L'hormone chorionique gonadotrope (béta-HCG).
À quel rythme le taux de béta-HCG double-t-il normalement en début de grossesse ?,Tous les $2$ jours.
À quel terme de la grossesse la production de béta-HCG est-elle maximale ?,À $9$ semaines d'aménorrhée (SA).
À partir de quel terme peut-on confirmer une grossesse par échographie vaginale ?,$4$ à $5$ semaines d'aménorrhée (SA).
À partir de quel terme l'échographie abdominale est-elle possible pour confirmer une grossesse ?,À partir de la $6^{\text{e}}$ semaine d'aménorrhée (SA).
Dans quelle fourchette de temps l'échographie de datation est-elle réalisée ?,Entre $10$ et $12$ semaines d'aménorrhée (SA).
Quels sont les trois paramètres mesurés lors de l'échographie de datation ?,"Le diamètre bipariétal (BIP), la longueur craniocaudale et le diamètre du sac gestationnel."
Quel est le seuil de normalité pour l'albuminurie sur $24$ heures chez la femme enceinte ?,$<300~mg/24h$.
Combien de déterminations sont nécessaires pour valider le groupe sanguin phénotypé ?,Deux déterminations.
Pour quel type de rhésus la recherche d'agglutinines irrégulières (RAI) est-elle recommandée ?,Pour tous les types de rhésus.
Citez quatre sérologies infectieuses systématiquement recommandées lors de la grossesse.,"Toxoplasmose, Syphilis (VDRL-TPHA), Rubéole et VIH."
Le dépistage des marqueurs sériques de la Trisomie 21 est-il obligatoire ?,"Non, il est proposé mais non obligatoire."
Quel examen est réalisé en fin de grossesse par prélèvement vaginal ?,La recherche d'un portage du Streptocoque B.
Dans quel cas doit-on doser la TSH pendant la grossesse ?,En cas d'antécédent de dysthyroïdie ou de traitement substitutif en cours.
Pour quelles populations l'électrophorèse de l'hémoglobine est-elle indiquée ?,"Origines d'Afrique, des Antilles ou du pourtour méditerranéen."
À quel trimestre la consultation d'anesthésie doit-elle avoir lieu ?,Au $3^{\text{e}}$ trimestre.
Quelle est la valeur limite normale de la pression artérielle lors de l'examen général ?,$<14/9$ cmHg.
Quelle est la fréquence cardiaque fœtale normale à l'auscultation ?,$120$ à $160$ bpm.
Quelle est la définition d'une hypotrophie fœtale ?,Poids inférieur au $10^{\text{e}}$ percentile.
Quelle est la taille utérine imagée à $3$ mois de grossesse ($15$ SA) ?,Celle d'un pamplemousse.
Quelle est la hauteur utérine attendue à $4$ mois ($20$ SA) ?,$16$ cm.
Quelle est la hauteur utérine attendue à $6$ mois ($28$ SA) ?,$24$ cm.
Quelle est la hauteur utérine attendue à $9$ mois ($41$ SA) ?,$32$ cm.
Citez trois pathologies spécifiques du premier trimestre.,"Vomissements gravidiques, fausse couche spontanée et grossesse extra-utérine (GEU)."
Citez trois pathologies pouvant survenir aux deuxième et troisième trimestres.,"Menace d'accouchement prématuré (MAP), toxémie gravidique et diabète gestationnel."
Quel âge maternel constitue un facteur de risque pour le diabète gestationnel ?,$\ge 35$ ans.
Quel seuil d'IMC est considéré comme un facteur de risque de diabète gestationnel ?,$IMC \ge 25$.
Quel poids de naissance définit un enfant macrosome ?,$>4$ kg.
Quelle bactérie est la plus fréquemment responsable des pyélonéphrites gravidiques ?,E. Coli.
À quelle complication obstétricale la vaginose bactérienne est-elle associée ?,La chorioamnionite.
Quelles sont les trois formes de pathologies vasculaires graves liées à la grossesse ?,"L'hypertension artérielle (HTA) gravidique, la prééclampsie et l'éclampsie."
Citez trois types de pathologies thrombo-emboliques pouvant survenir lors de la grossesse.,"Embolie amniotique, phlébothrombose et embolie pulmonaire."
Quels sont les trois piliers de la prise en charge de la douleur chez l'enfant ?,"Reconnaître, prévenir et traiter."
Comment évalue-t-on la douleur chez le jeune enfant incapable de s'exprimer ?,Par hétéro-évaluation (échelles comportementales).
Quelles sont les trois catégories de douleurs chez l'enfant selon leur durée ?,"Douleur aiguë ponctuelle, aiguë prolongée et durable (chronique)."
Pour quel type de douleur l'échelle EDINN a-t-elle été élaborée ?,La douleur postopératoire.
