Quel est le poids moyen du cœur chez l'adulte ?,Environ $300\text{ g}$.
Quelle est la fourchette de variation du débit cardiaque selon les besoins de l'organisme ?,De $5$ à $35\text{ l/min}$.
Le circuit systémique est qualifié de circuit à _____ pression.,Haute
Quelle est la pression moyenne régnant dans la circulation systémique ?,Entre $60$ et $100\text{ mmHg}$.
Quelle est la pression moyenne régnant dans la circulation pulmonaire ?,Entre $10$ et $20\text{ mmHg}$.
Le circuit court (pulmonaire) est qualifié de circuit à _____ pression.,Basse
Où se situe précisément le cœur dans la cage thoracique ?,"Dans le médiastin antérieur, centré à gauche."
Sur quelle structure anatomique repose le cœur ?,Le diaphragme.
Comment s'appelle l'enveloppe séreuse qui maintient le cœur ?,Le péricarde.
Quelle est la forme géométrique du cœur ?,Pyramidale à base triangulaire.
Comment s'appelle la pointe du cœur ?,L'apex.
Quelles sont les dimensions approximatives du cœur ?,$10\text{ cm } \times 10\text{ cm}$ (environ la taille d'un poing fermé).
Pourquoi les compressions thoraciques lors d'un arrêt cardiaque se font-elles au centre du sternum ?,"Parce que le cœur est en position centrée, bien que son axe soit orienté à gauche."
Définition : Anévrisme,Dégradation des structures de la paroi vasculaire créant une hernie sur toutes les couches du vaisseau.
Définition : Dissection aortique,Déchirure de l'intima créant un chenal (faux lumen) entre les couches de la paroi artérielle.
Quelles sont les trois couches de la paroi vasculaire ?,"L'intima, la média et l'adventice."
Comment appelle-t-on l'augmentation globale du volume du cœur visible sur une radio ?,Une cardiomégalie.
Qu'est-ce que le sillon interauriculaire ?,La séparation externe entre les deux oreillettes (en arrière).
Comment appelle-t-on les diverticules musculaires triangulaires surmontant les oreillettes ?,Les auricules.
Quel risque pathologique majeur présentent les auricules en cas de stase sanguine ?,La formation de caillots pouvant générer des embolies (AVC).
Comment s'appelle la cloison séparant les deux parties du cœur ?,Le septum.
Qu'est-ce qu'une Communication Inter-Ventriculaire (CIV) ?,Une anomalie congénitale de fermeture du septum séparant les ventricules.
Comment s'appelle l'orifice de communication fœtal entre les deux oreillettes ?,Le foramen oval.
Quelle structure fœtale relie l'artère pulmonaire et l'aorte ?,Le canal artériel.
Qu'est-ce qu'un FOP (Foramen Oval Perméable) chez l'adulte ?,"La persistance d'une perméabilité entre les oreillettes, présente chez $20$ à $25\%$ des adultes."
Quelle pathologie congénitale complexe comprend une CIV et une dilatation du cœur droit ?,La tétralogie de Fallot.
Quel est le diamètre moyen de l'abouchement de la veine cave inférieure ?,$30\text{ mm}$.
Comment s'appelle la valvule située à l'abouchement de la veine cave inférieure ?,La valvule d'Eustachi.
Où s'abouche le sinus coronaire veineux ?,"Dans l'oreillette droite, près de la veine cave inférieure."
Quel est le diamètre de la veine cave supérieure à son abouchement ?,$20\text{ mm}$.
Pourquoi la veine cave supérieure est-elle dépourvue de valvule ?,Parce que le sang descend par gravité vers le cœur.
Quelle valve sépare l'oreillette droite du ventricule droit ?,La valve tricuspide.
De combien de feuillets est composée la valve tricuspide ?,Trois feuillets.
Quelle est l'épaisseur moyenne de la paroi du ventricule droit ?,$5\text{ mm}$.
Comment appelle-t-on les valves situées à la naissance de l'artère pulmonaire ?,Les valves sigmoïdes pulmonaires.
Combien de veines pulmonaires s'abouchent dans l'oreillette gauche ?,Quatre (2 droites et 2 gauches).
Quelle valve sépare l'oreillette gauche du ventricule gauche ?,La valve mitrale (ou bicuspide).
Pourquoi la valve mitrale porte-t-elle ce nom ?,À cause de sa ressemblance avec une mitre d'évêque (deux feuillets).
Quelle est l'épaisseur moyenne de la paroi du ventricule gauche ?,$13$ à $16\text{ mm}$.
Comment appelle-t-on les valves situées à l'origine de l'aorte ?,Les valves sigmoïdes aortiques.
Une valve aortique possédant seulement deux feuillets au lieu de trois est appelée une _____.,Bicuspidie aortique
Quelles structures assurent l'étanchéité des valves auriculo-ventriculaires lors de la systole ?,Les cordages tendineux et les muscles papillaires (piliers).
Les valves cardiaques sont-elles innervées ?,"Non, elles sont dépourvues d'innervation et de motricité propre."
Par quel mécanisme les valves cardiaques s'ouvrent-elles et se ferment-elles ?,Par les jeux de pression de part et d'autre des valves.
Qu'est-ce qu'une 'insuffisance valvulaire' ?,Un défaut d'étanchéité (fuite) de la valve en position fermée.
Quelle est la contrainte majeure d'une valve cardiaque mécanique ?,La nécessité d'une anticoagulation efficace à vie.
Quel est l'avantage principal d'une bioprothèse (valve biologique) ?,L'absence de traitement anticoagulant obligatoire à long terme.
Que signifie l'acronyme TAVI ?,Transcatheter Aortic Valve Implantation (implantation de valve aortique par voie percutanée).
Quelle partie du septum sépare l'oreillette droite du ventricule gauche ?,Le septum atrio-ventriculaire (lié au décalage de niveau entre mitrale et tricuspide).
Quelle partie du septum interventriculaire est la plus sujette aux communications anormales (CIV) ?,"La partie haute, dite membraneuse."
Quelles sont les deux couches du péricarde séreux ?,Le feuillet viscéral (adhérent au myocarde) et le feuillet pariétal.
Comment appelle-t-on l'accumulation de liquide compressif dans l'espace péricardique ?,Une tamponnade.
De quels deux types de fibres est composé le myocarde ?,Les fibres musculaires striées et les cellules différenciées du tissu nodal.
Où naissent précisément les artères coronaires ?,Juste au-dessus des valves sigmoïdes aortiques.
Quelles sont les deux branches principales de l'artère coronaire droite ?,L'artère interventriculaire postérieure et l'artère rétroventriculaire postérieure.
En quelles deux artères se divise le tronc commun coronaire gauche ?,L'IVA (Interventriculaire Antérieure) et l'artère circonflexe.
Quelle artère coronaire est considérée comme la principale nourricière des ventricules ?,L'IVA (Artère Interventriculaire Antérieure).
Comment appelle-t-on la douleur thoracique liée à une ischémie myocardique partielle ?,L'angor (ou angine de poitrine).
Quelle est la différence fondamentale entre angor et infarctus ?,"L'angor est une souffrance réversible, l'infarctus est une nécrose cellulaire irréversible."
Quel type de médicament permet de lever un angor par vasodilatation ?,Les dérivés nitrés (ex: trinitrine).
Qu'est-ce qu'une angioplastie ?,"La dilatation d'une artère coronaire à l'aide d'un ballonnet, souvent complétée par la pose d'un stent."
Quels sont les trois principaux greffons utilisés pour un pontage aorto-coronarien ?,"L'artère mammaire interne, l'artère radiale ou la veine saphène."
Quel système assure l'innervation intrinsèque (autonome) du cœur ?,Le tissu nodal.
Le système _____ augmente la fréquence et la contractilité cardiaque.,Sympathique
Le système _____ (via le nerf vague) ralentit le rythme cardiaque.,Parasympathique
Quel est le médiateur chimique principal du système sympathique cardiaque ?,La noradrénaline.
Quel est le médiateur chimique principal du système parasympathique cardiaque ?,L'acétylcholine.
Où se situent les principaux barorécepteurs influençant le rythme cardiaque ?,Dans la crosse aortique et les glomus carotidiens.
À quels paramètres sanguins sont sensibles les chémorécepteurs ?,"La $PaCO_2$, la $PaO_2$ et le $pH$."
Pourquoi l'atropine augmente-t-elle la fréquence cardiaque ?,C'est un parasympatholytique qui lève l'influence inhibitrice du nerf vague.
Quel est le 'pacemaker' naturel du cœur (point de départ de l'excitation) ?,Le nœud sino-auriculaire (de Keith et Flack).
Quel est le rythme spontané du nœud sinusal avant l'influence du nerf vague ?,$120\text{ battements/min}$.
Ordre de conduction : Nœud sinusal -> _____ -> Faisceau de His -> Réseau de Purkinje.,Nœud auriculo-ventriculaire (d'Aschoff-Tawara)
À quoi correspond l'onde P sur l'ECG ?,La dépolarisation (contraction) des oreillettes.
À quoi correspond le complexe QRS sur l'ECG ?,La dépolarisation (contraction) des ventricules.
À quoi correspond l'onde T sur l'ECG ?,La repolarisation (relaxation) des ventricules.
Quel ion est principalement responsable de la dépolarisation cellulaire ?,Le sodium ($Na^+$).
Quel ion est principalement responsable de la repolarisation cellulaire ?,Le potassium ($K^+$).
Comment appelle-t-on la phase de remplissage ventriculaire ?,La diastole.
Comment appelle-t-on la phase d'éjection ventriculaire ?,La systole.
Quelle est la formule du débit cardiaque ($QC$) ?,$QC = VES \times FC$ ($VES$ : Volume d'éjection systolique ; $FC$ : Fréquence cardiaque).
Qu'est-ce que la 'précharge' ?,"Le volume de sang présent dans le ventricule en fin de diastole, déterminant l'étirement des fibres."
Qu'est-ce que la 'postcharge' ?,L'ensemble des forces s'opposant à l'éjection du sang par le ventricule (résistances vasculaires).
Comment calcule-t-on la Fraction d'Éjection ($FE$) ?,$FE = \frac{VTD - VTS}{VTD}$ ($VTD$: Volume télédiastolique ; $VTS$: Volume télésystolique).
Quelle est la valeur normale de la fraction d'éjection ventriculaire ?,Entre $60$ et $80\%$.
