Quelles sont les deux extrémités de la clavicule ?,L'extrémité sternale et l'extrémité acromiale.
Quels sont les deux muscles s'insérant sur la face latérale supérieure de la clavicule ?,Le muscle trapèze et le muscle deltoïde.
Quels sont les deux muscles s'insérant sur la face médiale supérieure de la clavicule ?,Le muscle sterno-cléido-mastoïdien et le muscle grand pectoral.
Sur quelle face de la clavicule se trouve le sillon du muscle sub-clavier ?,La face caudale (ou inférieure).
Quels ligaments s'attachent respectivement sur la ligne trapézoïde et le tubercule conoïde de la clavicule ?,Le ligament trapézoïde et le ligament conoïde.
Où se situe l'insertion du ligament costo-claviculaire sur la clavicule ?,"Sur la face inférieure, à proximité de l'extrémité sternale."
L'épine scapulaire se termine latéralement par quelle structure osseuse ?,L'acromion.
Quelles sont les deux fosses séparées par l'épine scapulaire sur la face dorsale de la scapula ?,La fosse supra-épineuse et la fosse infra-épineuse.
Comment s'appelle la cavité de la scapula qui s'articule avec la tête de l'humérus ?,La cavité glénoïdale (ou glénoïde).
Quelle structure en forme de bec se projette vers l'avant sur la face ventrale de la scapula ?,Le processus coracoïde.
Quel repère anatomique de la scapula correspond à la projection de la vertèbre $T7$ ?,Le bord inférieur de la scapula.
Avec quelle structure de l'humérus la trochlée humérale s'articule-t-elle ?,L'ulna (au niveau de l'incisure trochléaire).
Quel nerf passe directement dans la gouttière de la face postérieure du corps de l'humérus ?,Le nerf radial.
Quels sont les trois muscles de la loge antérieure du bras ?,"Le biceps brachial, le muscle brachial et le muscle coraco-brachial."
Quel est le muscle unique composant la loge postérieure du bras ?,Le triceps brachial.
Quel nerf innerve les muscles de la loge antérieure du bras ?,Le nerf musculo-cutané.
Quel os de l'avant-bras est considéré comme l'os de la pronosupination ?,Le radius.
Le radius tourne autour de quel os lors des mouvements de rotation de l'avant-bras ?,L'ulna (qui reste fixe).
Avec quels os du carpe le radius s'articule-t-il principalement à son extrémité distale ?,Le scaphoïde et le lunatum (semi-lunaire).
Quelle est la particularité de la position de la tête de l'ulna par rapport aux autres os longs ?,Elle se situe à l'extrémité distale (la tête est en bas).
Comment appelle-t-on la saillie osseuse de l'ulna formant la pointe du coude ?,L'olécrane.
Combien d'os composent normalement la main ?,27 os.
Quels sont les os de la première rangée du carpe (de dehors en dedans) ?,"Le scaphoïde, le lunatum, le triquetrum (pyramidal) et le pisiforme."
Quels sont les os de la deuxième rangée du carpe (de dehors en dedans) ?,"Le trapèze, le trapézoïde, le capitatum (grand os) et l'hamatum (os crochu)."
Dans quel espace anatomique précis se situe l'os scaphoïde ?,La tabatière anatomique.
Quel nerf est comprimé lors du syndrome du canal carpien ?,Le nerf médian.
Quelles sont les racines nerveuses constituant le plexus brachial ?,"Les branches ventrales des nerfs spinaux de $C5$, $C6$, $C7$, $C8$ et $T1$."
Quelles racines forment le tronc supérieur du plexus brachial ?,$C5$ et $C6$.
Quelle racine forme le tronc moyen du plexus brachial ?,$C7$.
Quelles racines forment le tronc inférieur du plexus brachial ?,$C8$ et $T1$.
Comment est formé le faisceau postérieur du plexus brachial ?,Par l'union des divisions postérieures des trois troncs.
Quelles sont les sept branches terminales du plexus brachial ?,"Nerfs musculo-cutané, médian, ulnaire, cutané médial du bras, cutané médial de l'avant-bras, axillaire et radial."
Où se situe l'origine du plexus brachial ?,"Dans la région supra-claviculaire, entre les muscles scalènes antérieur et moyen."
Quel nerf du plexus brachial innerve le muscle deltoïde ?,Le nerf axillaire.
Quel nerf est responsable de l'extension de la main et des doigts ?,Le nerf radial.
Quel nerf assure l'innervation de la loge hypothénar et du petit doigt ?,Le nerf ulnaire.
Quels sont les deux nerfs uniquement sensitifs issus du faisceau médial du plexus brachial ?,Les nerfs cutanés médiaux du bras et de l'avant-bras.
Quels sont les trois os primitifs dont la fusion forme l'os coxal ?,"L'ilium (ilion), l'ischium (ischion) et le pubis."
Quelle structure sépare le petit bassin du grand bassin ?,Le détroit supérieur.
Sur quelle partie de l'os coxal repose-t-on en position assise ?,L'ischion.
Quel est l'os le plus long du corps humain ?,Le fémur.
Quelles sont les deux saillies osseuses situées à la partie supérieure du fémur ?,Le grand trochanter et le petit trochanter.
Quels os constituent l'articulation du genou ?,"Le fémur, le tibia et la patella (rotule)."
Quel os de la jambe ne participe pas à l'articulation du genou ?,La fibula (péroné).
Quel muscle puissant compose la loge antérieure de la cuisse ?,Le muscle quadriceps fémoral.
Quels sont les trois muscles de la loge postérieure de la cuisse (ischio-jambiers) ?,"Le biceps fémoral, le semi-tendineux et le semi-membraneux."
Quels muscles composent la loge médiale de la cuisse ?,Les muscles adducteurs.
Quel nerf traverse la loge postérieure de la cuisse et est le plus gros du corps ?,Le nerf sciatique (ischiatique).
Quelles sont les structures contenues dans le triangle fémoral (de dehors en dedans) ?,"Le nerf fémoral, l'artère fémorale et la veine fémorale."
Où se situe la malléole médiale ?,À l'extrémité distale du tibia.
Quel os du pied s'articule directement avec le tibia et la fibula ?,Le talus (astragale).
Quel est l'os du talon ?,Le calcanéus (calcanéum).
Combien d'os composent le squelette du pied (hors sésamoïdes) ?,26 os.
Quels sont les sept os du tarse ?,"Talus, calcanéus, naviculaire, cuboïde et les trois cunéiformes."
Quelle artère fait suite à l'artère sub-clavière au niveau de l'aisselle ?,L'artère axillaire.
En quelles deux artères l'artère brachiale se divise-t-elle au niveau du coude ?,L'artère radiale et l'artère ulnaire.
Quelle artère fait suite à l'artère iliaque externe après le passage sous l'arcade crurale ?,L'artère fémorale commune.
Quel nerf innerve les muscles de la loge antérieure de la cuisse ?,Le nerf fémoral.
Quelles sont les racines du plexus lombaire ?,$(Th12)$ $L1$ à $L4$.
Quelles sont les deux branches de division terminale du nerf sciatique ?,Le nerf tibial et le nerf fibulaire commun.
Quel nerf innerve les muscles adducteurs de la cuisse ?,Le nerf obturateur.
Quel nerf innerve la peau de la face latérale de la cuisse ?,Le nerf cutané latéral de la cuisse ($L2$).
Quel est le muscle principal de la respiration ?,Le diaphragme.
