Pour quel type de trouble acido-basique l'évaluation du Trou Anionique (TAN) est-elle indiquée ?,L'acidose métabolique.
Quels sont les deux cations plasmatiques utilisés pour calculer le Trou Anionique (TAN) ?,$Na^{+}$ et $K^{+}$.
Quels sont les deux anions mesurés soustraits lors du calcul du Trou Anionique (TAN) ?,$Cl^{-}$ et $HCO_{3}^{-}$.
Formule du Trou Anionique (TAN) selon le document :,$TAN = ([Na^{+}] + [K^{+}]) - ([Cl^{-}] + [HCO_{3}^{-}])$.
Sur quel principe physico-chimique du plasma repose le concept du Trou Anionique (TAN) ?,L'électro-neutralité.
Quels sont les trois principaux types d'anions non mesurés contribuant au TAN dans des conditions normales ?,"L'albumine, le phosphate et les anions organiques."
Citez les quatre grandes fonctions du rein mentionnées dans le cours.,"Maintien de l'équilibre hydroélectrolytique, élimination des déchets, fonction endocrine et néoglucogénèse."
Quelles sont les trois substances produites par la fonction endocrine du rein ?,"La rénine, l'érythropoïétine (EPO) et le 1,25-dihydroxycholécalciférol."
Quel est le nom du métabolite actif de la Vitamine D synthétisé par le rein ?,"Le 1,25-dihydroxycholécalciférol."
"Quel est le rôle du 1,25-dihydroxycholécalciférol au niveau intestinal ?",Il contrôle l'absorption du calcium et du phosphore.
"En dehors de l'absorption, sur quel processus le métabolite actif de la Vitamine D agit-il ?",La métabolisation du calcium et du phosphore.
La néoglucogénèse rénale correspond à la production de _____ à partir de précurseurs non glucidiques.,Glucose
Quels sont les deux principaux substrats utilisés par le rein pour la néoglucogénèse ?,Les acides aminés et l'acide lactique.
Où se situent les reins d'un point de vue anatomique par rapport au péritoine ?,Dans la cavité rétro-péritonéale.
Comment qualifie-t-on le rein en tant qu'organe en raison de sa présence en deux exemplaires ?,Organe double.
Quelle est l'unité fonctionnelle du rein ?,Le néphron.
"Selon le document, quel est le nombre approximatif de néphrons par rein ?",Environ 100 millions.
Anatomie : Comment appelle-t-on la partie la plus externe du parenchyme rénal ?,La corticale.
Anatomie : Nommez les structures triangulaires situées dans la zone médullaire du rein.,Les pyramides.
Anatomie : Quelle structure se trouve à l'extrémité de chaque pyramide rénale ?,La papille.
Anatomie : Quel conduit fait suite au bassinet pour acheminer l'urine vers la vessie ?,L'uretère.
Comment appelle-t-on la zone de transition entre le bassinet et l'uretère ?,La jonction pyélo-urétérale.
Anatomie : Quelles structures collectrices fusionnent pour former le calice majeur ?,Les calices mineurs.
Quels sont les trois types de drainages urinaires illustrés dans le document ?,"La pyélostomie, la sonde urétérale et le Cystocath."
Qu'est-ce qu'un Cystocath ?,Un cathéter sus-pubien permettant de drainer la vessie.
Quels sont les deux grands mécanismes physiopathologiques d'une acidose métabolique ?,La non-élimination des ions $H^{+}$ et l'hyperproduction d'ions $H^{+}$.
Citez deux pathologies rénales empêchant l'élimination des ions $H^{+}$. ,L'insuffisance rénale chronique et l'insuffisance rénale aiguë.
Quel médicament utilisé pour le glaucome peut provoquer une rétention d'ions $H^{+}$ ?,Le Diamox* (acétazolamide).
Citez une cause toxique d'acidose tubulaire rénale mentionnée dans le cours.,"La phénacétine (ou les antifongiques, ou l'excès de Vit D)."
Quelles sont les deux origines possibles d'une hyperproduction d'ions $H^{+}$ ?,Endogène et exogène.
Citez trois causes métaboliques ou circulatoires d'hyperproduction endogène d'ions $H^{+}$. ,"Le diabète déséquilibré, le choc et l'hypoxie."
Quelle pathologie hépatique est associée à une hyperproduction d'ions $H^{+}$ ?,L'insuffisance hépatique aiguë.
Qu'est-ce que le 'crush syndrome' dans le contexte de l'équilibre acido-basique ?,Un écrasement musculaire entraînant une hyperproduction d'ions $H^{+}$.
Quelle intoxication médicamenteuse courante provoque une acidose par hyperproduction de $H^{+}$ dans un second temps ?,L'aspirine.
Citez deux types d'alcools ou produits industriels responsables d'une acidose exogène.,L'alcool méthylique et l'antigel (éthylène-glycol).
Quels sels ou chlorures peuvent causer une acidose métabolique exogène ?,Le chlorhydrate d'arginine et le chlorure d'ammonium.
"Dans le TAN, que représente la différence calculée par rapport à la composition réelle du plasma ?",La concentration des anions non mesurés.
Anatomie : Comment nomme-t-on la cavité centrale du rein contenant les vaisseaux et les calices ?,Le sinus rénal.
Quelle est la fonction de l'érythropoïétine (EPO) sécrétée par le rein ?,Elle stimule la production de globules rouges (fonction endocrine).
L'acidose _____ est une cause endogène fréquente d'hyperproduction d'ions $H^{+}$. ,lactique
"Le rein participe au maintien de l'équilibre _____, assurant la stabilité des volumes liquidiens et des ions.",hydroélectrolytique
Vrai ou Faux : Le catabolisme très intense est une cause exogène d'acidose.,Faux (c'est une cause endogène).
Quelle structure anatomique relie les calices majeurs à l'uretère ?,Le bassinet (pyélon).
Anatomie : La zone située entre la corticale et le sinus est appelée la zone _____.,médullaire
Quelle substance exogène toxique est spécifiquement identifiée comme 'antigel' dans le cours ?,L'éthylène-glycol.
Le Trou Anionique est calculé à partir de données issues de quel examen biologique ?,L'ionogramme plasmatique.
Quel métabolite de la néoglucogénèse est particulièrement lié aux états d'hypoxie ou de choc ?,L'acide lactique.
"Parmi les causes d'acidose tubulaire, quel groupe de médicaments est cité à côté de la phénacétine ?",Les antifongiques.
La sécrétion de _____ par le rein est un élément clé de la régulation de la pression artérielle.,rénine
Terme : Pyélostomie,Définition : Drainage chirurgical ou percutané du bassinet (pyélon) du rein.
