Quels sont les trois objectifs principaux de l'hémostase ?,"La prévention des saignements spontanés, l'arrêt des hémorragies et le maintien de la fluidité sanguine."
Quelles sont les trois étapes interdépendantes du processus d'hémostase ?,"L'hémostase primaire, la coagulation plasmatique et la fibrinolyse."
Comment appelle-t-on l'agrégat plaquettaire formé lors de l'hémostase primaire ?,Le thrombus blanc.
Quelle est la première étape (temps vasculaire) de l'hémostase primaire suite à une brèche ?,Une vasoconstriction réflexe quasi-immédiate.
Quelle protéine assure l'adhésion des plaquettes au sous-endothélium via le récepteur $GPIb-IX-V$ ?,Le facteur de von Willebrand ($VWF$).
"Outre le $VWF$, quel constituant du sous-endothélium joue un rôle majeur dans l'adhésion plaquettaire ?",Le collagène.
Comment appelle-t-on le changement de distribution des phospholipides membranaires lors de l'activation plaquettaire ?,Le flip-flop des phospholipides.
Quel type de phospholipides s'expose à la surface externe de la plaquette pour créer une surface procoagulante ?,Les phospholipides anioniques.
Quels sont les deux principaux types de granules libérés par les plaquettes activées ?,Les granules denses et les granules alpha.
Quel puissant agoniste de l'activation plaquettaire est synthétisé à partir de l'acide arachidonique ?,Le thromboxane $A2$ ($TXA2$).
Quelle glycoprotéine change de conformation pour fixer le fibrinogène et permettre l'agrégation ?,Le complexe $\alpha IIb\beta 3$ (ou $GPIIbIIIa$).
Quel ion est indispensable pour que la glycoprotéine $\alpha IIb\beta 3$ puisse fixer le fibrinogène ?,Le calcium ($Ca^{2+}$).
Quel complexe enzymatique initie la cascade de la coagulation physiologique ?,Le complexe Facteur Tissulaire ($FT$) et Facteur $VIIa$.
"Quelle enzyme est le pivot central de la cascade de coagulation, transformant le fibrinogène en fibrine ?",La thrombine (Facteur $IIa$).
Quels sont les deux cofacteurs activés par la thrombine lors de la phase d'amplification ?,Le Facteur $Va$ et le Facteur $VIIIa$.
Quels éléments constituent le complexe 'ténase' ?,"Les Facteurs $IXa$, $VIIIa$, les phospholipides et le calcium."
Quels éléments constituent le complexe 'prothrombinase' ?,"Les Facteurs $Xa$, $Va$, les phospholipides et le calcium."
