Combien de systèmes de groupes sanguins érythrocytaires sont officiellement recensés en 2025 ?,Il existe 48 systèmes regroupant plus de 390 antigènes.
Quels sont les trois domaines principaux où les groupes sanguins jouent un rôle crucial ?,"La transfusion sanguine, la transplantation d'organes et l'obstétrique."
Définition : Antigène érythrocytaire,C'est une substance portée par la membrane du globule rouge.
Définition : Anticorps (en immuno-hématologie),C'est une protéine plasmatique formée en réponse à l'introduction d'un antigène étranger.
Quels sont les trois systèmes de groupes sanguins les plus importants en transfusion ?,"Les systèmes ABO, Rhésus et Kell."
Où sont localisés les antigènes du système ABO en dehors des globules rouges ?,"Ils sont présents sur les globules blancs, les plaquettes et de nombreuses cellules épithéliales."
À quel âge les anticorps naturels et réguliers du système ABO apparaissent-ils chez le nourrisson ?,Ils apparaissent vers l'âge de 6 mois après la naissance.
Un individu de groupe sanguin A possède l'antigène A et quel anticorps naturel ?,Il possède l'anticorps anti-B.
Quels antigènes et anticorps caractérisent le groupe sanguin O ?,Aucun antigène (A ou B) sur les globules rouges et présence d'anticorps anti-A et anti-B dans le plasma.
Quelle est la fréquence approximative du groupe sanguin O dans la population française ?,La fréquence est d'environ $43\%$.
Quelle est la fréquence approximative du groupe sanguin AB en France ?,C'est le groupe le plus rare avec environ $3\%$ de la population.
Quelle est la règle d'or pour éviter une hémolyse lors d'une transfusion de globules rouges ?,Ne jamais apporter un antigène érythrocytaire que le receveur ne possède pas.
L'épreuve de Beth-Vincent (ou épreuve globulaire) consiste à rechercher quoi ?,Elle recherche la présence des antigènes A et/ou B sur la membrane des globules rouges.
L'épreuve de Simonin (ou épreuve sérique) consiste à rechercher quoi ?,Elle recherche la présence d'anticorps naturels anti-A et/ou anti-B dans le plasma.
Pourquoi le groupage sanguin d'un nouveau-né n'est-il valide que jusqu'à 6 mois ?,Parce que les anticorps naturels ne sont pas encore détectables avant cet âge.
Quels sont les cinq antigènes principaux du système Rhésus ?,"Les antigènes D ($RH1$), C ($RH2$), E ($RH3$), c ($RH4$) et e ($RH5$)."
Que signifie être 'Rhésus positif' ($RH:1$) ?,Cela signifie que l'individu possède l'antigène D sur ses globules rouges.
Quelle proportion de la population caucasienne est Rhésus négatif ($RH:-1$) ?,Environ $15\%$ des individus.
Comment appelle-t-on les anticorps du système Rhésus qui apparaissent après une grossesse ou une transfusion ?,Ce sont des anticorps immuns ou acquis (anticorps irréguliers).
Quel est l'antigène principal recherché en routine dans le système Kell ?,L'antigène $KEL:1$ (ou K).
Quelle est la fréquence des individus Kell négatif ($KEL:-1$) ?,Environ $91\%$ de la population est Kell négatif.
Pour quel profil de patient le respect du phénotype Rhésus-Kell est-il impératif lors d'une transfusion ?,Pour les femmes en âge de procréer et les patients déjà immunisés.
Pourquoi le système Kidd ($JK$) est-il qualifié de 'perfide et dangereux' ?,Ses anticorps peuvent devenir rapidement indétectables dans le sang tout en restant dangereux en cas de nouvelle transfusion.
"Quelle population présente fréquemment le phénotype Duffy 'silencieux' ($FY:-1,-2$) ?",Les sujets noirs ($70$ à $90\%$) par opposition aux caucasiens chez qui il est exceptionnel.
Quels antigènes du système MNS sont considérés comme les plus immunogènes et dangereux en transfusion ?,Les antigènes S ($MNS3$) et s ($MNS4$).
"Que signifie l'adage 'Un anticorps un jour, un anticorps toujours' ?",La mémoire immunologique persiste même si l'anticorps n'est plus détectable par la RAI.
Quelles sont les trois indications réglementaires de la Recherche d'Anticorps Irréguliers (RAI) ?,"Avant une transfusion de CGR, avant un geste invasif à risque hémorragique et chez la femme enceinte."
Quelle est la durée de validité standard d'une RAI en contexte transfusionnel ?,Sa validité est de $72$ heures.
Sous quelle condition la validité d'une RAI négative peut-elle être prolongée à 21 jours ?,"S'il n'y a eu aucun épisode immunisant (grossesse, transfusion) dans les 6 derniers mois."
Pourquoi faut-il deux prélèvements indépendants pour établir un groupe sanguin définitif ?,Pour prévenir les erreurs d'identification du patient ou les erreurs de prélèvement.
Que risque-t-on en prélevant un groupe sanguin après une transfusion de globules rouges ?,Une 'double population' qui rend l'interprétation du groupe impossible pendant environ 4 mois.
Où et quand les tubes de prélèvement pour le groupe sanguin doivent-ils être étiquetés ?,"Au lit du patient, immédiatement après le prélèvement et en sa présence."
Quelle est la particularité de la RAI chez le nouveau-né de moins de 3 mois ?,La RAI du bébé est considérée comme identique à celle de sa mère.
L'épreuve de compatibilité au laboratoire (cross-match) est obligatoire pour quel type de patient ?,Pour les patients drépanocytaires ou ayant une RAI positive (actuelle ou ancienne).
Quels sont les trois principaux types de Produits Sanguins Labiles (PSL) ?,"Le Concentré de Globules Rouges (CGR), le Concentré de Plaquettes (CP) et le Plasma Frais Congelé (PFC)."
Quelle est la durée et la température de conservation d'un CGR ?,42 jours entre $+2$°C et $+6$°C.
Quelle est la durée et la température de conservation des plaquettes ?,7 jours entre $+20$°C et $+24$°C sous agitation continue.
Pourquoi ne faut-il jamais mettre les plaquettes au réfrigérateur ?,Le froid altère irrémédiablement leur fonction d'hémostase.
Dans quel délai maximum une transfusion doit-elle être débutée après réception du produit dans le service ?,Elle doit être débutée dans un délai de 6 heures.
Quelle est l'indication principale de la transfusion de CGR ?,Restaurer la capacité de transport de l'oxygène vers les tissus.
Quels sont les deux types de concentrés de plaquettes disponibles ?,Le mélange de concentrés de plaquettes (MCP) et le concentré de plaquettes d'aphérèse (CPA).
Quel est le but de l'irradiation d'un PSL ?,Prévenir la réaction du greffon contre l'hôte post-transfusionnelle chez les immunodéprimés.
Qu'est-ce qu'un concentré de plaquettes 'déplasmatisé' ?,Un produit dont on a retiré le plasma pour prévenir des réactions allergiques graves.
Quelle est la dose standard de plaquettes à transfuser chez un adulte ?,"$0,5$ à $0,7 \times 10^{11}$ plaquettes pour $10$ kg de poids corporel."
Quelle est l'indication majeure de la transfusion de plasma frais congelé (PFC) ?,Apporter des facteurs de coagulation en cas d'hémorragie avec trouble de la coagulation.
Quel groupe sanguin est le donneur universel pour le plasma ?,Le groupe AB (car son plasma ne contient aucun anticorps anti-A ou anti-B).
Qu'est-ce que le PLYO et quel est son avantage ?,C'est un plasma lyophilisé qui se reconstitue en 3 minutes sans décongélation.
Quelle est la différence de vigilance entre les PSL et les Médicaments Dérivés du Sang (MDS) ?,"Les PSL relèvent de l'hémovigilance, les MDS de la pharmacovigilance."
Quels sont les quatre paramètres vitaux minimaux à surveiller avant et pendant une transfusion ?,"Le pouls, la pression artérielle, la température et la saturation en oxygène."
Pendant combien de temps doit-on rester auprès du patient au début de la transfusion ?,Il faut assurer une surveillance continue pendant les 15 premières minutes.
Quelle est la durée maximale recommandée pour passer une unité de CGR ?,"Environ 1h30 à 2h, sans jamais dépasser 3 heures."
Quels sont les trois niveaux d'urgence vitale en transfusion ?,"Urgence vitale immédiate ($< 15$ min), urgence vitale ($< 30$ min) et urgence relative ($< 2$ à $3$ h)."
"En cas d'urgence vitale immédiate sans groupe connu, quel sang est délivré ?",Du sang de groupe O négatif (ou O positif pour les hommes/femmes ménopausées).
Le contrôle ultime de concordance au lit du patient vérifie quoi ?,"La correspondance entre l'identité du patient, la prescription, la fiche de délivrance et le produit."
Le contrôle ultime de compatibilité ABO (carte de contrôle) est-il requis pour les plaquettes ?,"Non, il n'est obligatoire que pour les Concentrés de Globules Rouges (CGR)."
Combien de temps faut-il conserver la carte de contrôle ultime après la transfusion ?,Elle doit être conservée pendant au moins 4 heures.
Combien de temps faut-il conserver la poche vide après une transfusion ?,Elle doit être conservée pendant au moins 4 heures (pour analyse en cas d'incident).
Quelle est la complication de surcharge la plus fréquente à surveiller chez les sujets âgés ?,L'OAP (Oedème Aigu du Poumon) de surcharge ou TACO.
Que doit-on faire si un patient présente des frissons ou une fièvre pendant la transfusion ?,Arrêter immédiatement la transfusion et prévenir le médecin.
Quel document doit être remis au patient à sa sortie après une transfusion ?,Une ordonnance pour une RAI post-transfusionnelle (à faire 1 à 3 mois après).
Pendant combien d'années le dossier transfusionnel doit-il être conservé par l'établissement ?,Il doit être conservé pendant 30 ans.
Que signifie la traçabilité descendante en transfusion ?,C'est la capacité de retrouver tous les receveurs à partir d'un don de sang spécifique.
Que signifie la traçabilité ascendante en transfusion ?,C'est la capacité de remonter jusqu'au donneur à partir d'un produit transfusé à un receveur.
Quelle est l'utilité du 'double nœud' lors du débranchement de la poche ?,Prévenir la contamination bactérienne de la poche pour des analyses ultérieures éventuelles.
Qu'est-ce qu'une transfusion 'isogroupe' ?,C'est transfuser un produit du même groupe ABO et Rhésus que le patient.
Peut-on injecter des médicaments dans la même ligne que la transfusion ?,"Non, la voie veineuse doit être dédiée à la transfusion (sauf sérum physiologique)."
Quel est le risque majeur d'une erreur d'incompatibilité ABO ?,Un choc hémolytique aigu pouvant entraîner le décès du patient.
Qu'est-ce qu'un CGR 'phénotypé étendu' ?,"Un produit pour lequel les antigènes Duffy, Kidd et MNS ont été déterminés."
Pourquoi l'information du patient avant la transfusion est-elle obligatoire ?,Pour obtenir son consentement éclairé après explication des bénéfices et des risques.
